Country , Territory,ISO3,Region,CPI score 2023,Rank,Standard error,Number of sources,Lower CI,Upper CI,African Development Bank CPIA,Bertelsmann Foundation Sustainable Governance Index,Bertelsmann Foundation Transformation Index,Economist Intelligence Unit Country Ratings,Freedom House Nations in Transit,Global Insights Country Risk Ratings,IMD World Competitiveness Yearbook,PERC Asia Risk Guide,PRS International Country Risk Guide,Varieties of Democracy Project,World Bank CPIA,World Economic Forum EOS,World Justice Project Rule of Law Index
Lithuania,LTU,WE/EU,61,34,1.249941,10,58.9501,63.0499,,61.51816,72.74066,54.73361,62.29226,58.97113,55.94656,,49.83622,71.65746,,54.67466,69.71539
Portugal,PRT,WE/EU,61,34,1.750554,8,58.12909,63.87091,,70.38703,,54.73361,,58.97113,48.49924,,65.1637,68.04044,,54.67466,65.224
Latvia,LVA,WE/EU,60,36,1.757172,9,57.11824,62.88176,,70.38703,64.76163,54.73361,62.29226,58.97113,51.49529,,43.39172,71.65746,,,64.32571
Saint Vincent and the Grenadines,VCT,AME,60,36,4.2627,3,53.00917,66.99083,,,,,,58.97113,,,,,51.77465,,67.91883
Spain,ESP,WE/EU,60,36,2.36062,8,56.12859,63.87141,,70.38703,,54.73361,,46.73721,54.66254,,56.45491,74.55109,,50.46594,69.71539
Botswana,BWA,SSA,59,39,3.042194,7,54.0108,63.9892,,,52.79308,72.20404,,71.02245,40.79513,,65.8604,57.91277,,,52.64809
Qatar,QAT,MENA,58,40,4.896084,6,49.97042,66.02958,,,40.82453,72.20404,,46.73721,81.28454,,56.45491,49.95531,,,
Czechia,CZE,WE/EU,57,41,1.260941,10,54.93206,59.06794,,43.78042,56.7826,54.73361,59.32485,58.97113,69.64276,,49.83622,66.59363,,49.93985,62.52916
Dominica,DMA,AME,56,42,1.914757,3,52.8598,59.1402,,,,,,58.97113,,,,,51.77465,,56.24121
Italy,ITA,WE/EU,56,42,1.664529,8,53.27017,58.72983,,61.51816,,54.73361,,58.97113,49.86887,,49.83622,68.76384,,47.48477,60.7326
Slovenia,SVN,WE/EU,56,42,1.040544,10,54.29351,57.70649,,52.64929,60.77211,54.73361,68.22707,58.97113,48.24244,,56.45491,57.18936,,45.38041,60.7326
Costa Rica,CRI,AME,55,45,2.899478,7,50.24485,59.75515,,,68.75114,54.73361,,46.73721,,,41.12743,65.14682,,44.50359,61.63088
Saint Lucia,LCA,AME,55,45,3.700181,3,48.9317,61.0683,,,,,,46.73721,,,,,60.10603,,57.13948
Poland,POL,WE/EU,54,47,1.362194,10,51.766,56.234,,43.78042,48.80357,54.73361,56.35744,58.97113,53.63532,,41.12743,69.48725,,50.64131,63.42744
Slovakia,SVK,WE/EU,54,47,1.665892,9,51.26794,56.73206,,52.64929,56.7826,54.73361,56.35744,71.02245,47.72883,,41.12743,61.52979,,,48.1567
